Rank,Elo
36,1843.8
74,1747.9
100,1688.8
213,1502.4
383,1237.1
305,1418.6
297,1404
189,1540.8
279,1451.4
185,1566.1
307,1416.1
259,1446.7
99,1694.1
147,1627
44,1818
105,1681.7
362,1295.4
77,1742.7
379,1245.3
350,1314
332,1348.3
10,1958.4
209,1512
331,1348.7
101,1686.5
28,1879.6
353,1310.1
299,1399.4
177,1571.7
224,1531.3
22,1895.1
46,1792
191,1561.8
355,1307.6
319,1375.1
115,1657.1
54,1798.3
135,1641.1
249,1488.8
183,1566.7
296,1428.2
87,1716.6
362,1326.1
11,1991.1
370,1315.4
320,1398.8
176,1573.8
184,1566.5
150,1619.5
68,1756.4
301,1422.3
165,1593.5
112,1669.8
250,1456
311,1410.2
159,1601
263,1474.1
103,1682.5
335,1387.4
69,1749
149,1622.2
338,1380.8
26,1888.7
126,1659.5
347,1316.1
317,1378.7
275,1460
130,1643.6
230,1519.9
172,1577.5
319,1400.3
194,1535.5
106,1680.2
386,1218.2
263,1444.6
84,1726.9
389,1191.6
363,1290.8
169,1573
2,2038.9
167,1579.1
191,1537.2
306,1395
269,1470.2
385,1174
373,1309.4
46,1811.6
232,1518.2
342,1375.8
290,1435.2
142,1635.9
198,1556.7
363,1325.9
279,1423.1
220,1534.6
372,1313.1
42,1823.3
127,1647.8
231,1518.9
278,1455.6
140,1642
1,2185.2
141,1636.5
128,1646.2
134,1641.9
208,1512
353,1349.3
148,1614.3
174,1564.8
266,1439.6
392,1112.5
13,1953.2
374,1301.6
366,1321.3
60,1778.2
100,1693.7
16,1933.1
109,1675.6
186,1548.7
285,1439.4
131,1643.3
12,1955.8
206,1518.6
208,1548.7
371,1271.5
355,1338.8
317,1402.7
63,1770.7
347,1362.5
218,1536
110,1674
306,1417
11,1957
71,1754.2
391,1162.2
73,1736.5
107,1680.3
119,1652.2
280,1449.4
177,1561.6
65,1764
143,1623.3
166,1591.6
345,1322.9
172,1568.1
151,1618.9
8,2007.5
286,1417.5
213,1543.3
273,1461.7
160,1593
81,1737.2
188,1545.3
165,1582.6
312,1387.5
47,1809.9
284,1418.1
199,1528.6
294,1428.6
76,1732.4
295,1428.2
64,1765.7
267,1437.7
394,1058.4
36,1863.2
96,1697.7
382,1236.8
315,1405.8
377,1274.3
356,1336.5
190,1538.7
188,1563.5
367,1283.4
4,2043
187,1565.7
237,1513.7
375,1294.4
222,1532.9
185,1549.3
327,1357.7
87,1718.4
156,1603.8
74,1736.4
324,1360.7
133,1642.7
173,1575.9
180,1556.5
137,1634.4
43,1806.1
339,1332.1
314,1407.4
57,1793.1
17,1916
175,1574.5
270,1431.6
23,1895.1
234,1515.2
51,1783.6
384,1214.1
88,1717.3
3,2033.4
261,1445.6
55,1781.7
30,1868.1
66,1760
283,1418.4
62,1767.4
111,1673.1
178,1561.5
324,1396
91,1707.5
6,2023
303,1397.4
105,1683.5
313,1408.8
138,1632.6
79,1741.2
277,1423.6
240,1503.7
281,1421.8
338,1334.7
58,1771.7
18,1915
214,1501.9
82,1735.8
365,1287.1
227,1479.9
146,1629.5
171,1568.4
293,1432
19,1914.2
374,1253.3
145,1633.4
61,1767.7
271,1430.4
162,1588.4
301,1398.3
310,1412.9
245,1496.9
84,1722.7
256,1478.7
102,1691.2
274,1460.4
251,1486.3
371,1315.4
261,1475.5
164,1585.1
225,1530.7
264,1473.3
164,1596.8
89,1712.7
131,1653.6
27,1882.5
253,1482.3
289,1435.8
73,1750.4
267,1471.3
41,1823.4
346,1363.8
308,1415.5
341,1331.4
249,1456.2
203,1523.6
220,1496.4
325,1359.1
388,1202.1
256,1448.7
118,1652.4
122,1650
82,1725.3
60,1768.2
158,1593.6
54,1782.5
205,1519.6
38,1825.7
7,1975.2
233,1471.7
212,1506.1
318,1401.5
148,1626.8
152,1608.1
68,1755.4
215,1501.7
171,1580.5
126,1647.9
214,1541.5
384,1235.3
386,1135.1
376,1248.6
361,1297
320,1373.9
98,1696.1
147,1615.2
175,1563.8
330,1351
153,1616.4
339,1380.5
151,1610.6
259,1476.8
231,1473.2
328,1351.9
71,1743.4
178,1571.5
183,1550.4
381,1244.5
275,1424.6
179,1571.3
334,1347.9
39,1819.6
274,1427.3
292,1413.1
297,1427.4
86,1718.8
210,1546.5
170,1581.4
244,1497.3
155,1610.8
